# collected: 2026-09-23 08:02 KST
# window: 2026-09-22 00:00 ~ 2026-09-23 08:02 KST
# part 1 of 3, lines: 250
# format: date | media | title | url | tags

2026-09-22 17:58 | 한국경제 | "129% 폭등했다" 개미들 우르르 몰렸는데…'날벼락' - 한국경제 | google:한국경제 | sw
2026-09-22 17:56 | 한국경제 | 삼아알미늄, AI데이터센터 '숨은 수혜주' 부상 - 한국경제 | google:한국경제 | sw
2026-09-22 17:53 | 뉴시스 | 李대통령, '입원' 정청래와 통화…출국 전 전화해 안부 물어 - 뉴시스 | google:뉴시스 | sw
2026-09-22 17:51 | 연합뉴스 | 李대통령, '북핵중단-제재완화' 제안…북미대화 여건 조성 의도? - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 17:49 | seoul.co.kr | 공소청 검사 20%, 수사관 70% 줄인다…이정현 수원고검장은 총장대행으... | https://www.seoul.co.kr/news/society/law/2026/09/22/20260922500272?wlog_tag3=naver | b12?
2026-09-22 17:49 | mk.co.kr | 공소청 수사관 70% 줄고…법정 서는 공판검사 늘어 | https://www.mk.co.kr/article/12159660 | b12?
2026-09-22 17:48 | 서울경제 | [단독] 구글, 정부에 TPU 우선 공급 타진 - 서울경제 | google:서울경제 | sw
2026-09-22 17:48 | 서울경제 | 경남도 노후 산단 66곳 맞춤형 정비 착수 - 서울경제 | google:서울경제 | sw
2026-09-22 17:48 | 서울경제 | 천안도시공사, ‘코리아풋볼파크 아레나’ 9월 30일 개관 - 서울경제 | google:서울경제 | sw
2026-09-22 17:46 | 연합뉴스 | 유시민 "李대통령이 말한 檢개혁 틀린 말…지금껏 국민 속인 것" - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 17:43 | 경향신문 | “박정희 긍정적으로 기억해야”···추경호, ‘내란공범’ 혐의 재판에 ‘정치적 탄압’ 주장 - 경향신문 | google:경향신문 | sw
2026-09-22 17:43 | 경향신문 | 청와대 ‘경기·성남라인’ 리스크에 여당서도 “국민적 의구심 있다면 투명하게 관리 필요” - 경향신문 | google:경향신문 | sw
2026-09-22 17:42 | 한국경제 | 'AI 동맹' 확장하는 LG, MS·엔비디아와 손잡았다 - 한국경제 | google:한국경제 | sw
2026-09-22 17:41 | 한국경제 | [단독] 대기업 대신 찾은 곳이…한국 온 '월가 전설' 파격 행보 - 한국경제 | google:한국경제 | sw
2026-09-22 17:37 | 뉴시스 | 설악산 선녀봉 비법정탐방로서 조난 40대…헬기 구조 - 뉴시스 | google:뉴시스 | sw
2026-09-22 17:33 | 뉴시스 | 한국유교문화진흥원, 추석 상차림 간소화…"가족 화목이 본질" - 뉴시스 | google:뉴시스 | sw
2026-09-22 17:33 | 한국경제 | [단독] 성호전자 관계사 핑거, '강관 1위' 세아FSI 품는다 - 한국경제 | google:한국경제 | sw
2026-09-22 17:32 | 뉴시스 | [포항소식]POEX 준공 앞두고 '포항 마이스얼라이언스' 발대식 등 - 뉴시스 | google:뉴시스 | sw
2026-09-22 17:30 | 아시아경제 | SKC, 유리기판 자회사 앱솔릭스에 921억원 추가 청약 - 아시아경제 | google:아시아경제 | sw
2026-09-22 17:30 | ntoday.co.kr | 수사 기능 떼낸 공소청…검사 정원 80~85% 규모로 출범 | https://www.ntoday.co.kr/news/articleView.html?idxno=129622 | b12?,b18?
2026-09-22 17:30 | safetimes.co.kr | '영업사원 과욕' 해명한 해태제과 … 허위 증빙 제출도 적발 | https://www.safetimes.co.kr/news/articleView.html?idxno=245933 | b13?
2026-09-22 17:30 | 이투데이 | 송미령 장관 “관행적 농지 위반은 처분 제외…정상화 기회 준다” - 이투데이 | google:이투데이 | sw
2026-09-22 17:29 | 한국경제 | "배터리도 냉각도 LG"… 엔비디아 'AI 팩토리' 뚫은 K기술 - 한국경제 | google:한국경제 | sw
2026-09-22 17:28 | weekly.khan.co.kr | 홍준표 “최순실·김건희·김현지, 정권마다 여인천하···이 대통령 단절해야” - weekly.khan.co.kr | google:weekly.khan.co.kr | sw
2026-09-22 17:23 | 연합뉴스 | 李대통령, '입원' 정청래와 통화…쾌유 기원하며 진영 통합 - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 17:22 | 뉴시스 | 부산 북항 상어 '장기 체류' 가능성…추석 인파 안전대책 논의 - 뉴시스 | google:뉴시스 | sw
2026-09-22 17:20 | 이투데이 | "한복 치이카와, 3시간 기다렸어요"⋯'먼작귀'의 한국 토벌기 [솔드아웃] - 이투데이 | google:이투데이 | sw
2026-09-22 17:19 | 한국경제 | [속보] 포스코퓨처엠, SK온에 1조 700억원 규모 LFP 양극재 공급 - 한국경제 | google:한국경제 | sw
2026-09-22 17:18 | ESG경제 | 코리아 프리미엄 말하기 전에, 디스카운트 원인부터 없애야 한다 - ESG경제 | google:ESG경제 | sw
2026-09-22 17:14 | 경향신문 | “내가 만든 AI가 세상을···” 번아웃 시달리며 휴직하는 개발자들 - 경향신문 | google:경향신문 | sw
2026-09-22 17:12 | 뉴시스 | [교육소식]한밭대 외국인 유학생 '추석맞이' 전통놀이 체험 등 - 뉴시스 | google:뉴시스 | sw
2026-09-22 17:12 | ajunews.com | [광화문 갤러리] 추석 앞두고 돌아본 이산가족의 기다림 - ajunews.com | google:ajunews.com | sw
2026-09-22 17:08 | 아시아경제 | '아메리카 갓 탤런트' 결승 진출한 中 로봇, 쿵푸 댄스에 "완전 압도적" - 아시아경제 | google:아시아경제 | sw
2026-09-22 17:08 | 연합뉴스 | 조희대 '재제청 거부'에 靑 불쾌감…"빈집털이 일방 발표" - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 17:01 | dnews.co.kr | 카카오·카카오인베 합병 반대 2% 그쳐…인적분할 '첫 관문' 통과 - dnews.co.kr | google:dnews.co.kr | sw
2026-09-22 16:58 | newstomato.com | 공소청 검사 정원 감축키로…논란의 '개문발차' | http://www.newstomato.com/ReadNews.aspx?no=1314563&inflow=N | b12?
2026-09-22 16:57 | 한국경제 | [단독] 국산 둔갑 '메이드 인 차이나' 홍수…미국도 '경고장' - 한국경제 | google:한국경제 | sw
2026-09-22 16:55 | 경향신문 | 중군 전문가들 “미·중 정상회담에서 북한 주된 논의 대상 아닐 것” - 경향신문 | google:경향신문 | sw
2026-09-22 16:53 | 경향신문 | 이 대통령 기자회견, ‘잘못했다’ 57.7%…‘잘했다’ 39.2%[리얼미터] - 경향신문 | google:경향신문 | sw
2026-09-22 16:52 | 뉴시스 | 순천서 즐기는 한가위…정원·습지·읍성·드라마촬영장 어때요 - 뉴시스 | google:뉴시스 | sw
2026-09-22 16:51 | 뉴시스 | 임기근 국조실장, 명절 연휴 전 시장찾아 물가 점검…"민생지원 힘쓸 것” - 뉴시스 | google:뉴시스 | sw
2026-09-22 16:51 | ajunews.com | 카카오엔터, 카카오페이지 중심으로 스토리 플랫폼 통합…IP 사업 재편 - ajunews.com | google:ajunews.com | sw
2026-09-22 16:51 | 연합뉴스 | 국민 51％ "李대통령 '연임 개헌' 논란, 해소 안 돼"[리얼미터] - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 16:46 | 매일경제 | ‘마약 실형’ 돈스파이크, 출소 1년만 경주서 고기 굽는다 [MK★이슈] - 매일경제 | google:매일경제 | sw
2026-09-22 16:45 | 경향신문 | 동학농민혁명 빠진 초등 교과서에···시민사회 “다시 심의해야” - 경향신문 | google:경향신문 | sw
2026-09-22 16:44 | 뉴시스 | 김민석 "조희대, 참 황당한 대법원장… 상식 찾길" [뉴시스Pic] - 뉴시스 | google:뉴시스 | sw
2026-09-22 16:43 | 헤럴드경제 | 부모 집 비운 사이 친누나 살해한 30대 남성, 징역 20년 선고 - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-22 16:37 | 아시아경제 | '2300억' 복권 대박 났는데 또 수갑…당첨 후 다섯 번째 체포된 美남성 - 아시아경제 | google:아시아경제 | sw
2026-09-22 16:36 | 연합뉴스 | 강신철 "北, 국경선 요새화 중단해야…북한 눈치 안 본다" - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 16:35 | 뉴시스 | [거창소식]민관 함께하는 '추석맞이 국토 대청결 운동' 등 - 뉴시스 | google:뉴시스 | sw
2026-09-22 16:34 | 뉴시스 | 박병천 도의원 "증평 재정 공백 해소할 균형발전 대책 필요" - 뉴시스 | google:뉴시스 | sw
2026-09-22 16:33 | 뉴시스 | [대구소식]수성구, 재산세 미납자에 카카오 알림톡 안내 등 - 뉴시스 | google:뉴시스 | sw
2026-09-22 16:32 | 뉴시스 | "재제청? 근거 없다" 조희대의 '강한 거부'…갈등 장기화 불가피 - 뉴시스 | google:뉴시스 | sw
2026-09-22 16:31 | 이투데이 | 미국, 중동 에너지 재건에 50억달러⋯‘호르무즈 우회’ 100억달러 펀드 추진 - 이투데이 | google:이투데이 | sw
